2月4日,情侣，耳膜，破裂,姚明，火箭，退役仪式，11号球衣,大陆游览车，高雄，车祸，桥墩,世界癌症日,,,,
2月5日,浙江，天台县，足浴店，死伤,特朗西雅图、法官、移民政策、暂停入境限制令,,,,,,
2月6日,张继科，袁姗姗，恋情,中国诗词大会，武亦姝，围绕“月”字吟诗,吃穿山甲，李局长，黄书记,,,,,
2月7日,19年，婚纱照，,,,,,,,
2月8日,逃逸，母亲，撞老人,济源市，孙大圣，神仙，大巴车，五龙口庙会,下雪,三星天津电池工厂，起火，Note 7电池,,,,
2月9日,铜陵，爆炸，恒兴化工厂,鲁甸，4.9级，地震,5姐妹，开3宝马，追尾,,,,,
2月10日,证监会，刘士余，证券期货工作监管会议，资本大鳄,气功大师，王林，心脏骤停，抢救无效,黑作坊，曲奇,尖沙咀站，起火，香港地铁，纵火,东北虎，胖,,,
2月11日,印度，54年，老兵，王琪,,,,,,,
2月12日,感染，H7N9，病例，禽流感,朝鲜，导弹，日本海，严正抗议,第59届，格莱美，颁奖典礼,,,,,
2月13日,老干妈，陶华碧，不再持股,,,,,,,
2月14日,金正男，遇害，马来西亚，毒针,成品油调价窗口，上调50元,涟源，煤矿，爆炸，11人下落不明,情人节,,,,
2月15日,民警，感冒冲剂,,,,,,,
2月16日,虐虎，野生动物园,江苏省人民医院，医生，被捅，大动脉破裂，被刺,,,,,,
2月17日,巴基斯坦，清真寺，炸弹，50人死亡，自杀,清华大学女教授，1800万，台湾诈骗,行政拘留，16周岁降至14周岁，公安部,三星，李在镕，批捕，崔顺实，行贿，2.5亿,,,,
2月18日,武汉砍头，武昌火车站,全明星周末，NBA,挟持人质，对抗警方，自制步枪,,,,,
2月19日,改革开放，总设计师，邓小平，逝世，缅怀,,,,,,,
2月20日,冷空气，暴雪，最低气温，寒潮,郑爽后援会，解散，撤职,,,,,,
2月21日,飞机，坠毁，墨尔本，购物中心,连云港，苍梧晚报，男编辑，骚扰，女投稿人,杨振宁，姚期智，外国国籍，中科院院士,装修工，坠亡，转运遗体，受阻,,,,
2月22日,中国女留学生，殴打致死，终身监禁,积雪，结冰,董明珠，两室一厅，我掏钱,札幌，亚冬会，短道速滑，冠军,,,,
2月23日,中国留学生，加拿大，绑架，山西官员,东北虎，一巴掌，无人机,姚明，篮协主席，当选,被拐3年，8岁女孩，凭记忆，虐待,黄磊，第三胎，孙莉,"宇航局，NASA,7颗,类地行星",宜昌地震，3.8级，秭归县,台湾女主播，火了
2月24日,王柏川，张陆，邵思涵，张棪琰，出轨，朱七七,广东36岁女子，家暴，怀孕，8个孩子,共享单车，上锁，护士，占为己有,,,,,
2月25日,摄影师，任航，自杀，抑郁,,,,,,,
2月26日,汶川，4.0级，地震,排球联赛，全明星赛,CBA季后赛，辽宁队，广厦队,,,,,
2月27日,奥斯卡，最佳影片，乌龙,停职检查，丽江法官，不当言论，李炳祥,惊艳，高二女生，最美黑板报，杨童婳,八达岭，动物园，黑熊，车窗，围堵,蓝田人，小美，顺风车司机，衣衫不整,乐天，韩国，部署萨德，供地,,
2月28日,天津大悦城，坠楼,丁彦雨航，常规赛MVP,万家文化，赵薇，证监会，杠杆收购,,,,,
